============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
320     -0.0594242066  0x80F367   1|000|0000111100...           -0.0594244003  1.94e-07       
321     0.0158006195   0x0040B8   0|000|0000010000...           0.0158004761   1.43e-07       
322     0.0159788672   0x004173   0|000|0000010000...           0.0159788132   5.40e-08       
323     0.1531787217   0x02736C   0|000|0010011100...           0.1531791687   4.47e-07       
324     0.1079465821   0x01BA26   0|000|0001101110...           0.1079463959   1.86e-07       
325     -0.1871583611  0x82FE9A   1|000|0010111111...           -0.1871585846  2.23e-07       
326     -0.0966582224  0x818BE9   1|000|0001100010...           -0.0966577530  4.69e-07       
327     0.0441799238   0x00B4F6   0|000|0000101101...           0.0441799164   7.42e-09       
328     -0.1469091475  0x8259BD   1|000|0010010110...           -0.1469087601  3.87e-07       
329     0.0514893234   0x00D2E6   0|000|0000110100...           0.0514888763   4.47e-07       
330     -0.0432025231  0x80B0F5   1|000|0000101100...           -0.0432024002  1.23e-07       
331     0.0674899817   0x011470   0|000|0001000101...           0.0674896240   3.58e-07       
332     -0.2493041456  0x83FD26   1|000|0011111111...           -0.2493038177  3.28e-07       
333     0.2331952602   0x03BB2B   0|000|0011101110...           0.2331953049   4.47e-08       
334     0.1697775424   0x02B769   0|000|0010101101...           0.1697778702   3.28e-07       
335     -0.1342903376  0x82260E   1|000|0010001001...           -0.1342906952  3.58e-07       
336     -0.0799949542  0x8147A9   1|000|0001010001...           -0.0799951553  2.01e-07       
337     -0.1569117904  0x8282B6   1|000|0010100000...           -0.1569118500  5.96e-08       
338     -0.0507758036  0x80CFFA   1|000|0000110011...           -0.0507755280  2.76e-07       
339     0.0879669115   0x016850   0|000|0001011010...           0.0879669189   7.45e-09       
340     0.1038179100   0x01A93D   0|000|0001101010...           0.1038179398   2.98e-08       
341     -0.0673662722  0x8113EF   1|000|0001000100...           -0.0673666000  3.28e-07       
342     0.0342106111   0x008C20   0|000|0000100011...           0.0342102051   4.06e-07       
343     0.0808458328   0x014B25   0|000|0001010010...           0.0808458328   2.47e-11       
344     -0.1642124951  0x82A09D   1|000|0010101000...           -0.1642122269  2.68e-07       
345     0.1751190424   0x02CD4A   0|000|0010110011...           0.1751194000   3.58e-07       
346     0.0799872875   0x0147A1   0|000|0001010001...           0.0799875259   2.38e-07       
347     0.0160748940   0x0041D8   0|000|0000010000...           0.0160751343   2.40e-07       
348     0.0578463189   0x00ECF0   0|000|0000111011...           0.0578460693   2.50e-07       
349     0.0656975210   0x010D19   0|000|0001000011...           0.0656976700   1.49e-07       
350     0.1661075354   0x02A860   0|000|0010101010...           0.1661071777   3.58e-07       
351     -0.0158993267  0x804120   1|000|0000010000...           -0.0158996582  3.32e-07       
352     -0.1266150475  0x82069E   1|000|0010000001...           -0.1266155243  4.77e-07       
353     -0.1792163402  0x82DE12   1|000|0010110111...           -0.1792163849  4.47e-08       
354     -0.1029809639  0x81A5CF   1|000|0001101001...           -0.1029806137  3.50e-07       
355     -0.3245347440  0x85314B   1|000|0101001100...           -0.3245344162  3.28e-07       
356     -0.0715004429  0x8124DE   1|000|0001001001...           -0.0715007782  3.35e-07       
357     -0.1710295379  0x82BC89   1|000|0010101111...           -0.1710290909  4.47e-07       
358     0.0905614793   0x0172F1   0|000|0001011100...           0.0905618668   3.87e-07       
359     -0.1536731422  0x827572   1|000|0010011101...           -0.1536731720  2.98e-08       
360     0.0857937783   0x015F69   0|000|0001010111...           0.0857934952   2.83e-07       
361     0.1393222511   0x023AAA   0|000|0010001110...           0.1393222809   2.98e-08       
362     0.1981056780   0x032B71   0|000|0011001010...           0.1981058121   1.34e-07       
363     0.0342146531   0x008C25   0|000|0000100011...           0.0342149734   3.20e-07       
364     -0.2912562788  0x84A8FC   1|000|0100101010...           -0.2912559509  3.28e-07       
365     -0.1188556105  0x81E6D5   1|000|0001111001...           -0.1188554764  1.34e-07       
366     0.1499294192   0x02661C   0|000|0010011001...           0.1499290466   3.73e-07       
367     0.4924077392   0x07E0E7   0|000|0111111000...           0.4924077988   5.96e-08       
368     0.1036061868   0x01A85F   0|000|0001101010...           0.1036062241   3.73e-08       
369     -0.3211516738  0x852370   1|000|0101001000...           -0.3211517334  5.96e-08       
370     0.0979337245   0x019123   0|000|0001100100...           0.0979337692   4.47e-08       
371     0.2031786442   0x034038   0|000|0011010000...           0.2031784058   2.38e-07       
372     0.0631063432   0x01027C   0|000|0001000000...           0.0631065369   1.94e-07       
373     0.0221687295   0x005ACE   0|000|0000010110...           0.0221691132   3.84e-07       
374     0.0231629759   0x005EE0   0|000|0000010111...           0.0231628418   1.34e-07       
375     0.3991224468   0x0662CE   0|000|0110011000...           0.3991222382   2.09e-07       
376     -0.1794013530  0x82DED4   1|000|0010110111...           -0.1794013977  4.47e-08       
377     -0.0562898479  0x80E690   1|000|0000111001...           -0.0562896729  1.75e-07       
378     -0.1853442192  0x82F72B   1|000|0010111101...           -0.1853437424  4.77e-07       
379     -0.1531239897  0x827332   1|000|0010011100...           -0.1531238556  1.34e-07       
380     0.0446210839   0x00B6C5   0|000|0000101101...           0.0446214676   3.84e-07       
381     0.3172707260   0x05138A   0|000|0101000100...           0.3172702789   4.47e-07       
382     -0.0914112926  0x81766C   1|000|0001011101...           -0.0914115906  2.98e-07       
383     -0.0770048350  0x813B69   1|000|0001001110...           -0.0770044327  4.02e-07       
384     -0.1869320869  0x82FDAC   1|000|0010111111...           -0.1869316101  4.77e-07       
385     0.1038398296   0x01A954   0|000|0001101010...           0.1038398743   4.47e-08       
386     -0.0283324197  0x80740D   1|000|0000011101...           -0.0283327103  2.91e-07       
387     -0.2070404291  0x83500A   1|000|0011010100...           -0.2070407867  3.58e-07       
388     -0.0530361310  0x80D93C   1|000|0000110110...           -0.0530357361  3.95e-07       
389     -0.1073870584  0x81B7DB   1|000|0001101101...           -0.1073865891  4.69e-07       
390     0.1356006414   0x022B6C   0|000|0010001010...           0.1356010437   4.02e-07       
391     0.1866387576   0x02FC79   0|000|0010111111...           0.1866388321   7.45e-08       
392     -0.0399941802  0x80A3D1   1|000|0000101000...           -0.0399942398  5.96e-08       
393     0.1475236118   0x025C42   0|000|0010010111...           0.1475238800   2.68e-07       
394     -0.2363886088  0x83C83F   1|000|0011110010...           -0.2363882065  4.02e-07       
395     0.0558930002   0x00E4F0   0|000|0000111001...           0.0558929443   5.59e-08       
396     0.2202983052   0x038658   0|000|0011100001...           0.2202987671   4.62e-07       
397     0.2463890314   0x03F136   0|000|0011111100...           0.2463893890   3.58e-07       
398     0.1520352364   0x026EBD   0|000|0010011011...           0.1520357132   4.77e-07       
399     0.1466691196   0x0258C2   0|000|0010010110...           0.1466693878   2.68e-07       
400     0.1530279964   0x0272CD   0|000|0010011100...           0.1530275345   4.62e-07       
401     -0.0560366735  0x80E587   1|000|0000111001...           -0.0560369492  2.76e-07       
402     -0.1337755024  0x8223F2   1|000|0010001000...           -0.1337757111  2.09e-07       
403     0.0228895228   0x005DC1   0|000|0000010111...           0.0228891373   3.86e-07       
404     0.2135715187   0x036ACA   0|000|0011011010...           0.2135715485   2.98e-08       
405     0.1218846291   0x01F33D   0|000|0001111100...           0.1218843460   2.83e-07       
406     -0.0350649282  0x808FA0   1|000|0000100011...           -0.0350646973  2.31e-07       
407     -0.1750468463  0x82CCFE   1|000|0010110011...           -0.1750469208  7.45e-08       
408     -0.0066710324  0x801B53   1|000|0000000110...           -0.0066709518  8.06e-08       
409     -0.0804912895  0x8149B1   1|000|0001010010...           -0.0804910660  2.24e-07       
410     0.0690519959   0x011AD6   0|000|0001000110...           0.0690517426   2.53e-07       
411     -0.0307687502  0x807E07   1|000|0000011111...           -0.0307683945  3.56e-07       
412     -0.0948562548  0x818488   1|000|0001100001...           -0.0948562622  7.41e-09       
413     0.0122897597   0x003257   0|000|0000001100...           0.0122900009   2.41e-07       
414     0.1932627559   0x03179B   0|000|0011000101...           0.1932630539   2.98e-07       
415     -0.1907343268  0x830D3F   1|000|0011000011...           -0.1907339096  4.17e-07       
416     -0.0240313690  0x80626F   1|000|0000011000...           -0.0240316391  2.70e-07       
417     -0.0191382449  0x804E64   1|000|0000010011...           -0.0191383362  9.13e-08       
418     0.0158261359   0x0040D3   0|000|0000010000...           0.0158262253   8.94e-08       
419     0.0243997891   0x0063F1   0|000|0000011000...           0.0243997574   3.17e-08       
420     0.1671794206   0x02ACC4   0|000|0010101011...           0.1671791077   3.13e-07       
421     -0.0028489952  0x800BAB   1|000|0000000010...           -0.0028486252  3.70e-07       
422     -0.2186933458  0x837FC5   1|000|0011011111...           -0.2186937332  3.87e-07       
423     -0.0947577655  0x818421   1|000|0001100001...           -0.0947580338  2.68e-07       
424     -0.1135878786  0x81D142   1|000|0001110100...           -0.1135883331  4.55e-07       
425     0.0439735651   0x00B41E   0|000|0000101101...           0.0439739227   3.58e-07       
426     0.0441572703   0x00B4DE   0|000|0000101101...           0.0441570282   2.42e-07       
427     -0.0859151781  0x815FE9   1|000|0001010111...           -0.0859155655  3.87e-07       
428     -0.0334921665  0x80892F   1|000|0000100010...           -0.0334920883  7.82e-08       
429     0.1739850789   0x02C8A5   0|000|0010110010...           0.1739854813   4.02e-07       
430     0.1340153664   0x0224ED   0|000|0010001001...           0.1340150833   2.83e-07       
431     -0.0466897003  0x80BF3E   1|000|0000101111...           -0.0466899872  2.87e-07       
432     0.0948164463   0x01845E   0|000|0001100001...           0.0948162079   2.38e-07       
433     -0.0983076990  0x8192AB   1|000|0001100100...           -0.0983076096  8.94e-08       
434     -0.0412702337  0x80A90B   1|000|0000101010...           -0.0412702560  2.23e-08       
435     0.1231880561   0x01F894   0|000|0001111110...           0.1231880188   3.73e-08       
436     0.1808454543   0x02E4BE   0|000|0010111001...           0.1808452606   1.94e-07       
437     0.0133239198   0x003693   0|000|0000001101...           0.0133237839   1.36e-07       
438     0.0079491492   0x00208F   0|000|0000001000...           0.0079488754   2.74e-07       
439     0.0927926973   0x017C14   0|000|0001011111...           0.0927925110   1.86e-07       
440     -0.1298064739  0x8213B0   1|000|0010000100...           -0.1298065186  4.47e-08       
441     0.1029271930   0x01A597   0|000|0001101001...           0.1029272079   1.49e-08       
442     -0.1423309743  0x8246FD   1|000|0010010001...           -0.1423311234  1.49e-07       
443     -0.1280168742  0x820C5B   1|000|0010000011...           -0.1280164719  4.02e-07       
444     0.0933057070   0x017E2E   0|000|0001011111...           0.0933055878   1.19e-07       
445     -0.1352356523  0x8229ED   1|000|0010001010...           -0.1352357864  1.34e-07       
446     -0.1718500704  0x82BFE6   1|000|0010101111...           -0.1718502045  1.34e-07       
447     -0.0815495178  0x814E07   1|000|0001010011...           -0.0815496445  1.27e-07       
448     0.0337701775   0x008A53   0|000|0000100010...           0.0337705612   3.84e-07       
449     0.0082099168   0x0021A1   0|000|0000001000...           0.0082101822   2.65e-07       
450     -0.1160159484  0x81DB34   1|000|0001110110...           -0.1160163879  4.40e-07       
451     -0.0460030362  0x80BC6E   1|000|0000101111...           -0.0460033417  3.05e-07       
452     0.0328982398   0x0086C0   0|000|0000100001...           0.0328979492   2.91e-07       
453     0.0322955549   0x008448   0|000|0000100001...           0.0322952271   3.28e-07       
454     0.1725554019   0x02C2C9   0|000|0010110000...           0.1725549698   4.32e-07       
455     -0.0778946429  0x813F0E   1|000|0001001111...           -0.0778942108  4.32e-07       
456     0.1454565674   0x0253CA   0|000|0010010100...           0.1454563141   2.53e-07       
457     0.0551721118   0x00E1FC   0|000|0000111000...           0.0551719666   1.45e-07       
458     0.0053351060   0x0015DA   0|000|0000000101...           0.0053348541   2.52e-07       
459     0.1408730149   0x024104   0|000|0010010000...           0.1408729553   5.96e-08       
460     -0.1410517842  0x8241C0   1|000|0010010000...           -0.1410522461  4.62e-07       
461     -0.1514590085  0x826C60   1|000|0010011011...           -0.1514587402  2.68e-07       
462     -0.0606264696  0x80F853   1|000|0000111110...           -0.0606260300  4.40e-07       
463     -0.1115491688  0x81C8E8   1|000|0001110010...           -0.1115493774  2.09e-07       
464     -0.0887156799  0x816B61   1|000|0001011010...           -0.0887155533  1.27e-07       
465     0.0848087519   0x015B60   0|000|0001010110...           0.0848083496   4.02e-07       
466     -0.1063408777  0x81B392   1|000|0001101100...           -0.1063404083  4.69e-07       
467     -0.2213011980  0x838A73   1|000|0011100010...           -0.2213010788  1.19e-07       
468     0.0614069030   0x00FB86   0|000|0000111110...           0.0614070892   1.86e-07       
469     0.1467317492   0x025903   0|000|0010010110...           0.1467313766   3.73e-07       
470     -0.1610879004  0x8293D1   1|000|0010100100...           -0.1610879898  8.94e-08       
471     -0.0479932316  0x80C495   1|000|0000110001...           -0.0479936600  4.28e-07       
