Address    Float           Fixed(Hex)   Fixed(Dec)   Reconstructed   Error       
3909       -0.01575569     FFFC         65532        -0.01562500     1.30690000e-04
4000       0.12608272      0020         32           0.12500000      1.08272000e-03
4001       -0.12819265     FFDF         65503        -0.12890625     7.13600000e-04
4002       -0.00831625     FFFE         65534        -0.00781250     5.03750000e-04
4003       -0.19011207     FFCF         65487        -0.19140625     1.29418000e-03
4004       0.22331107      0039         57           0.22265625      6.54820000e-04
4005       0.01960914      0005         5            0.01953125      7.78900000e-05
4006       -0.04194040     FFF5         65525        -0.04296875     1.02835000e-03
4007       -0.12562592     FFE0         65504        -0.12500000     6.25920000e-04
4008       -0.05273348     FFF3         65523        -0.05078125     1.95223000e-03
4009       -0.17691517     FFD3         65491        -0.17578125     1.13392000e-03
4100       0.15728272      0028         40           0.15625000      1.03272000e-03
4101       0.08504780      0016         22           0.08593750      8.89700000e-04
4102       0.07484943      0013         19           0.07421875      6.30680000e-04
4103       0.01794185      0005         5            0.01953125      1.58940000e-03
4104       0.16573718      002A         42           0.16406250      1.67468000e-03
4105       0.10209992      001A         26           0.10156250      5.37420000e-04
4106       -0.09286167     FFE8         65512        -0.09375000     8.88330000e-04
4107       -0.08919499     FFE9         65513        -0.08984375     6.48760000e-04
4108       -0.06890792     FFEE         65518        -0.07031250     1.40458000e-03
4109       -0.07824107     FFEC         65516        -0.07812500     1.16070000e-04
4200       0.10042908      001A         26           0.10156250      1.13342000e-03
4201       -0.07151498     FFEE         65518        -0.07031250     1.20248000e-03
4202       -0.23100056     FFC5         65477        -0.23046875     5.31810000e-04
4203       0.03714515      000A         10           0.03906250      1.91735000e-03
4204       0.24176148      003E         62           0.24218750      4.26020000e-04
4205       -0.01379862     FFFC         65532        -0.01562500     1.82638000e-03
4206       -0.12661809     FFE0         65504        -0.12500000     1.61809000e-03
4207       0.02845480      0007         7            0.02734375      1.11105000e-03
4208       0.04061001      000A         10           0.03906250      1.54751000e-03
4209       -0.30494621     FFB2         65458        -0.30468750     2.58710000e-04
4300       0.10628052      001B         27           0.10546875      8.11770000e-04
4301       0.07823060      0014         20           0.07812500      1.05600000e-04
4302       -0.13868542     FFDC         65500        -0.14062500     1.93958000e-03
4303       -0.08553836     FFEA         65514        -0.08593750     3.99140000e-04
4304       0.07251117      0013         19           0.07421875      1.70758000e-03
4305       -0.04281628     FFF5         65525        -0.04296875     1.52470000e-04
4306       -0.04420818     FFF5         65525        -0.04296875     1.23943000e-03
